Year,Local Government,Tax,Vendor #,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,FY Total,,,,,,,
2006,Cook County Government,CHMR,290000031,"24,966,333.31","25,298,871.49","32,189,565.76","23,541,865.36","22,336,918.94","22,754,196.74","24,084,391.61","24,797,075.03","26,889,448.29","24,853,651.18","25,309,862.51","25,653,127.37","302,675,307.59",,,,,,,
2006,Cook County Government,CT,290000031,"381,691.20","624,373.04","502,787.03","398,217.79","455,202.98","389,509.23","370,989.01","458,172.56","527,521.22","496,882.16","565,522.32","505,921.45","5,676,789.99",,,,,,,
2007,Cook County Government,CHMR,290000031,"26,166,149.06","26,493,021.47","33,345,395.38","23,122,334.21","22,208,085.45","26,250,428.77","27,956,217.94","26,448,387.38","28,289,819.28","25,869,191.96","26,569,419.60","26,997,758.68","319,716,209.18",,,,,,,
2007,Cook County Government,CT,290000031,"488,325.68","429,496.66","408,769.43","386,214.06","284,191.93","333,135.18","478,731.22","476,738.39","518,087.67","443,067.17","483,605.50","457,772.32","5,188,135.21",,,,,,,
2008,Cook County Government,CHMR,290000031,"26,700,779.90","27,489,706.13","32,511,940.75","22,975,493.37","22,323,320.74","25,020,167.53","25,218,350.10","27,389,375.41","28,304,291.51","26,416,275.28","26,967,632.25","27,163,245.58","318,480,578.55",,,,,,,
2008,Cook County Government,CT,290000031,"400,125.92","354,542.60","418,269.37","315,959.71","259,396.67","277,976.24","418,251.76","486,745.50","462,754.52","421,730.43","422,148.46","389,282.69","4,627,183.87",,,,,,,
2009,Cook County Government,CHMR,290000031,"56,550,885.60","56,512,372.07","66,190,547.67","47,034,762.22","43,636,885.83","53,209,183.99","26,419,540.26","27,198,719.75","28,617,304.66","58,801,045.56","60,921,830.23","60,262,591.63","585,355,669.47",,,,,,,
2009,Cook County Government,CT,290000031,"252,416.01","237,690.88","263,708.40","220,333.75","175,672.01","200,864.27","348,160.00","341,875.90","352,227.39","309,192.09","299,390.63","319,424.12","3,320,955.45",,,,,,,
2010,Cook County Government,CHMR,290000031,"54,086,807.02","53,758,630.33","67,305,547.80","44,432,063.72","47,863,427.40","55,063,866.56","50,523,090.74","55,368,000.33","57,449,683.29","53,704,670.36","54,323,477.64","55,625,260.83","649,504,526.02",,,,,,,
2010,Cook County Government,CT,290000031,"247,056.57","220,463.04","264,621.11","178,040.56","256,128.34","219,751.62","206,975.22","261,025.72","272,190.07","261,036.59","311,394.04","236,150.89","2,934,833.77",,,,,,,
2011,Cook County Government,CHMR,290000031,"41,423,712.66","41,937,871.70","51,842,961.11","34,149,849.23","34,156,010.33","41,727,825.27","54,037,219.97","56,046,822.07","59,873,227.42","41,375,995.21","41,926,627.17","42,385,988.71","540,884,110.85",,,,,,,
2011,Cook County Government,CT,290000031,"254,748.12","246,650.63","223,238.37","122,638.57","221,773.12","220,800.32","184,587.67","174,927.34","301,204.99","285,624.79","266,088.18","259,297.01","2,761,579.11",,,,,,,
