Date,Value
2006-01-01,24966333.31
2006-02-01,25298871.49
2006-03-01,32189565.76
2006-04-01,23541865.36
2006-05-01,22336918.94
2006-06-01,22754196.74
2006-07-01,24084391.61
2006-08-01,24797075.03
2006-09-01,26889448.29
2006-10-01,24853651.18
2006-11-01,25309862.51
2006-12-01,25653127.37
2007-01-01,26166149.06
2007-02-01,26493021.47
2007-03-01,33345395.38
2007-04-01,23122334.21
2007-05-01,22208085.45
2007-06-01,26250428.77
2007-07-01,27956217.94
2007-08-01,26448387.38
2007-09-01,28289819.28
2007-10-01,25869191.96
2007-11-01,26569419.6
2007-12-01,26997758.68
2008-01-01,26700779.9
2008-02-01,27489706.13
2008-03-01,32511940.75
2008-04-01,22975493.37
2008-05-01,22323320.74
2008-06-01,25020167.53
2008-07-01,25218350.1
2008-08-01,27389375.41
2008-09-01,28304291.51
2008-10-01,26416275.28
2008-11-01,26967632.25
2008-12-01,27163245.58
2009-01-01,56550885.6
2009-02-01,56512372.07
2009-03-01,66190547.67
2009-04-01,47034762.22
2009-05-01,43636885.83
2009-06-01,53209183.99
2009-07-01,26419540.26
2009-08-01,27198719.75
2009-09-01,28617304.66
2009-10-01,58801045.56
2009-11-01,60921830.23
2009-12-01,60262591.63
2010-01-01,54086807.02
2010-02-01,53758630.33
2010-03-01,67305547.8
2010-04-01,44432063.72
2010-05-01,47863427.4
2010-06-01,55063866.56
2010-07-01,50523090.74
2010-08-01,55368000.33
2010-09-01,57449683.29
2010-10-01,53704670.36
2010-11-01,54323477.64
2010-12-01,55625260.83
2011-01-01,41423712.66
2011-02-01,41937871.7
2011-03-01,51842961.11
2011-04-01,34149849.23
2011-05-01,34156010.33
2011-06-01,41727825.27
2011-07-01,54037219.97
2011-08-01,56046822.07
2011-09-01,59873227.42
2011-10-01,41375995.21
2011-11-01,41926627.17
2011-12-01,42385988.71
2012-01-01,41431058.78
2012-02-01,42721044.13
2012-03-01,53795652.45
2012-04-01,28812342.73
2012-05-01,34030752.83
2012-06-01,35746559.3
2012-07-01,41122530.53
2012-08-01,42964135.88
2012-09-01,46000046.76
2012-10-01,42388298.43
2012-11-01,43506786.58
2012-12-01,44026963.75
2013-01-01,34927066.58
2013-02-01,35487641.5
2013-03-01,43211230.38
2013-04-01,23539092.39
2013-05-01,23005418.15
2013-06-01,26563219.94
2013-07-01,33658077.53
2013-08-01,35470794.2
2013-09-01,37603423.91
2013-10-01,34628405.04
2013-11-01,36266248.58
2013-12-01,36355579.74
2014-01-01,26107558.77
2014-02-01,28950345.28
2014-03-01,29711058.77
2014-04-01,27547502.37
2014-05-01,28431127.63
2014-06-01,28029256.57
2014-07-01,27333467.29
2014-08-01,27477685.86
2014-09-01,33169028.21
2014-10-01,22452171.15
2014-11-01,22859874.01
2014-12-01,27363026.21
2015-01-01,27606708.14
2015-02-01,29775106.31
2015-03-01,30069627.42
2015-04-01,28240772.58
2015-05-01,29078637.81
2015-06-01,30145865.18
2015-07-01,28859652.99
2015-08-01,28628423.14
2015-09-01,34437875.06
2015-10-01,23660620.29
2015-11-01,23554200.48
2015-12-01,28153259.56
2016-01-01,27798957.96
2016-02-01,29768756.1
2016-03-01,31635672.07
2016-04-01,29923428.44
2016-05-01,30204767.94
2016-06-01,30119564.3
2016-07-01,29838990.11
2016-08-01,28282114.56
2016-09-01,35403923.46
2016-10-01,53375007.52
2016-11-01,56260939.89
2016-12-01,65962180.95
2017-01-01,62493840.67
2017-02-01,69627843.68
2017-03-01,75197274.15
2017-04-01,69006512.35
2017-05-01,68263674.45
2017-06-01,69553963.39
2017-07-01,67405675.01
2017-08-01,67825677.28
2017-09-01,81531774.9
2017-10-01,56297195.44
2017-11-01,56233617.77
2017-12-01,66386157.29
2018-01-01,65212635.32
2018-02-01,69421573.86
2018-03-01,73119893.78
2018-04-01,67781079.36
2018-05-01,68994675.1
2018-06-01,68813719.37
2018-07-01,67466235.42
2018-08-01,68308547.76
2018-09-01,81326655.43
2018-10-01,58821645.29
2018-11-01,56928622.95
2018-12-01,69006437.46
2019-01-01,65512498.04
2019-02-01,74052335.97
2019-03-01,76306913.9
2019-04-01,70785493.51
2019-05-01,73166741.22
2019-06-01,70562415.08
2019-07-01,71626171.02
2019-08-01,69887841.41
2019-09-01,80402424.64
2019-10-01,54919556.82
2019-11-01,56461598.16
2019-12-01,68656689.25
2020-01-01,67846113.5
2020-02-01,73986096.51
2020-03-01,75961708.73
2020-04-01,72537143.53
2020-05-01,73233944.89
2020-06-01,71052949.49
2020-07-01,72032875.24
2020-08-01,69939707.75
2020-09-01,81607813.21
2020-10-01,58933107.67
2020-11-01,54947219.99
2020-12-01,50419580.68
2021-01-01,38476836.9
2021-02-01,46109877.15
2021-03-01,56464654.48
2021-04-01,61177461.54
2021-05-01,60080433.44
2021-06-01,61922896.3
2021-07-01,59972884.82
2021-08-01,55502405.69
2021-09-01,68824077.96
2021-10-01,57567755.4
2021-11-01,54773167.33
2021-12-01,81000519.72
