Date,CPI
2015-01-01,218.433
2015-02-01,218.461
2015-03-01,220.48
2015-04-01,220.88
2015-05-01,221.719
2015-06-01,222.228
2015-07-01,221.817
2015-08-01,222.815
2015-09-01,221.704
2015-10-01,221.339
2015-11-01,219.988
2015-12-01,218.653
2016-01-01,219.547
2016-02-01,218.65
2016-03-01,219.769
2016-04-01,221.206
2016-05-01,221.72
2016-06-01,222.599
2016-07-01,220.867
2016-08-01,221.501
2016-09-01,222.358
2016-10-01,222.4
2016-11-01,222.53
2016-12-01,222.65
2017-01-01,224.234
2017-02-01,224.141
2017-03-01,223.928
2017-04-01,224.891
2017-05-01,224.984
2017-06-01,224.718
2017-07-01,224.942
2017-08-01,225.642
2017-09-01,226.524
2017-10-01,225.336
2017-11-01,226.795
2017-12-01,226.085
2018-01-01,227.744
2018-02-01,227.717
2018-03-01,227.716
2018-04-01,229.533
2018-05-01,230.648
2018-06-01,230.393
2018-07-01,229.81
2018-08-01,230.087
2018-09-01,230.882
2018-10-01,230.836
2018-11-01,228.942
2018-12-01,227.944
2019-01-01,229.004
2019-02-01,230.814
2019-03-01,231.627
2019-04-01,231.596
2019-05-01,233.528
2019-06-01,232.543
2019-07-01,233.486
2019-08-01,233.746
2019-09-01,233.881
2019-10-01,234.696
2019-11-01,233.945
2019-12-01,233.518
2020-01-01,235.518
2020-02-01,235.557
2020-03-01,234.25
2020-04-01,231.572
2020-05-01,233.741
2020-06-01,234.874
2020-07-01,235.75
2020-08-01,236.287
2020-09-01,237.41
2020-10-01,237.251
2020-11-01,236.382
2020-12-01,236.096
2021-01-01,237.602
2021-02-01,239.091
2021-03-01,240.82
2021-04-01,243.551
2021-05-01,245.943
2021-06-01,247.637
2021-07-01,248.622
2021-08-01,248.64
2021-09-01,249.336
2021-10-01,251.201
2021-11-01,251.935
2021-12-01,252.961
2022-01-01,255.254
2022-02-01,257.086
2022-03-01,261.303
2022-04-01,262.064
2022-05-01,267.45
2022-06-01,271.652
2022-07-01,271.059
2022-08-01,270.486
2022-09-01,270.384
2022-10-01,270.626
2022-11-01,269.083
2022-12-01,266.022
