"Fiscal Year Ended","Taxing Jurisdiction","Amount Distributed","Jurisdiction Sort Order"
"2025","New York State Sales and Use Tax","$19,096,165,401","1"
"2025","New York City Sales and Use Tax","$10,478,287,112","2"
"2025","Metropolitan Commuter Transportation District Sales and Use Tax","$1,348,268,052","3"
"2025","Albany County Sales and Use Tax","$373,153,058","4"
"2025","Allegany County Sales and Use Tax","$29,704,715","5"
"2025","Broome County Sales and Use Tax","$190,245,682","6"
"2025","Cattaraugus County Sales and Use Tax","$52,122,078","7"
"2025","Cayuga County Sales and Use Tax","$48,559,944","8"
"2025","Chautauqua County Sales and Use Tax","$91,930,844","9"
"2025","Chemung County Sales and Use Tax","$74,146,293","10"
"2025","Chenango County Sales and Use Tax","$32,068,717","11"
"2025","Clinton County Sales and Use Tax","$75,362,702","12"
"2025","Columbia County Sales and Use Tax","$61,130,375","13"
"2025","Cortland County Sales and Use Tax","$40,887,912","14"
"2025","Delaware County Sales and Use Tax","$31,467,634","15"
"2025","Dutchess County Sales and Use Tax","$263,559,077","16"
"2025","Erie County Sales and Use Tax","$1,029,512,430","17"
"2025","Essex County Sales and Use Tax","$42,941,871","18"
"2025","Franklin County Sales and Use Tax","$33,631,166","19"
"2025","Fulton County Sales and Use Tax","$30,471,992","20"
"2025","Genesee County Sales and Use Tax","$56,334,616","21"
"2025","Greene County Sales and Use Tax","$50,687,385","22"
"2025","Hamilton County Sales and Use Tax","$5,491,364","23"
"2025","Herkimer County Sales and Use Tax","$45,617,894","24"
"2025","Jefferson County Sales and Use Tax","$104,011,884","25"
"2025","Lewis County Sales and Use Tax","$18,841,228","26"
"2025","Livingston County Sales and Use Tax","$48,574,028","27"
"2025","Madison County Sales and Use Tax","$41,907,595","28"
"2025","Monroe County Sales and Use Tax","$634,168,719","29"
"2025","Montgomery County Sales and Use Tax","$49,008,335","30"
"2025","Nassau County Sales and Use Tax","$1,580,591,459","31"
"2025","Niagara County Sales and Use Tax","$168,021,405","32"
"2025","Oneida County Sales and Use Tax","$198,936,154","33"
"2025","Onondaga County Sales and Use Tax","$493,604,628","34"
"2025","Ontario County Sales and Use Tax","$116,386,269","35"
"2025","Orange County Sales and Use Tax","$396,116,464","36"
"2025","Orleans County Sales and Use Tax","$23,518,158","37"
"2025","Oswego County Sales and Use Tax","$62,270,542","38"
"2025","Otsego County Sales and Use Tax","$52,503,140","39"
"2025","Putnam County Sales and Use Tax","$85,629,227","40"
"2025","Rensselaer County Sales and Use Tax","$125,589,739","41"
"2025","Rockland County Sales and Use Tax","$290,528,031","42"
"2025","St. Lawrence County Sales and Use Tax","$85,756,096","43"
"2025","Saratoga County Sales and Use Tax","$171,868,618","44"
"2025","Schenectady County Sales and Use Tax","$139,977,651","45"
"2025","Schoharie County Sales and Use Tax","$24,652,734","46"
"2025","Schuyler County Sales and Use Tax","$16,897,922","47"
"2025","Seneca County Sales and Use Tax","$33,106,316","48"
"2025","Steuben County Sales and Use Tax","$74,219,442","49"
"2025","Suffolk County Sales and Use Tax","$1,940,186,889","50"
"2025","Sullivan County Sales and Use Tax","$80,807,223","51"
"2025","Tioga County Sales and Use Tax","$31,863,733","52"
"2025","Tompkins County Sales and Use Tax","$67,226,906","53"
"2025","Ulster County Sales and Use Tax","$175,346,949","54"
"2025","Warren County Sales and Use Tax","$74,511,654","55"
"2025","Washington County Sales and Use Tax","$30,749,218","56"
"2025","Wayne County Sales and Use Tax","$66,073,570","57"
"2025","Westchester County Sales and Use Tax","$939,298,388","58"
"2025","Wyoming County Sales and Use Tax","$27,016,189","59"
"2025","Yates County Sales and Use Tax","$20,107,575","60"
"2025","City of Auburn Sales and Use Tax","$11,529,410","61"
"2025","City of Corning Sales and Use Tax","$498","62"
"2025","City of Fulton Sales and Use Tax","$123","63"
"2025","City of Geneva Sales and Use Tax","$425","64"
"2025","City of Glens Falls Sales and Use Tax","$5,170,819","65"
"2025","City of Gloversville Sales and Use Tax","$4,875,389","66"
"2025","City of Hornell Sales and Use Tax","$614","67"
"2025","City of Ithaca Sales and Use Tax","$14,695,884","68"
"2025","City of Johnstown Sales and Use Tax","$5,814,099","69"
"2025","City of Mount Vernon Sales and Use Tax","$29,648,800","70"
"2025","City of New Rochelle Sales and Use Tax","$43,297,784","71"
"2025","City of Norwich Sales and Use Tax","$2,378,838","72"
"2025","City of Ogdensburg Sales and Use Tax","$2,132,515","73"
"2025","City of Olean Sales and Use Tax","$5,337,214","74"
