date,chicago_search_sentiment
2015-01-01,64.0
2015-02-01,51.0
2015-03-01,75.0
2015-04-01,69.0
2015-05-01,87.0
2015-06-01,74.0
2015-07-01,85.0
2015-08-01,77.0
2015-09-01,69.0
2015-10-01,74.0
2015-11-01,82.0
2015-12-01,85.0
2016-01-01,61.0
2016-02-01,56.0
2016-03-01,77.0
2016-04-01,81.0
2016-05-01,78.0
2016-06-01,84.0
2016-07-01,94.0
2016-08-01,81.0
2016-09-01,78.0
2016-10-01,77.0
2016-11-01,79.0
2016-12-01,78.0
2017-01-01,53.0
2017-02-01,65.0
2017-03-01,69.0
2017-04-01,78.0
2017-05-01,75.0
2017-06-01,83.0
2017-07-01,92.0
2017-08-01,92.0
2017-09-01,82.0
2017-10-01,87.0
2017-11-01,89.0
2017-12-01,82.0
2018-01-01,55.0
2018-02-01,57.0
2018-03-01,78.0
2018-04-01,67.0
2018-05-01,75.0
2018-06-01,93.0
2018-07-01,100.0
2018-08-01,97.0
2018-09-01,74.0
2018-10-01,73.0
2018-11-01,83.0
2018-12-01,87.0
2019-01-01,51.0
2019-02-01,49.0
2019-03-01,70.0
2019-04-01,66.0
2019-05-01,74.0
2019-06-01,80.0
2019-07-01,83.0
2019-08-01,83.0
2019-09-01,72.0
2019-10-01,75.0
2019-11-01,81.0
2019-12-01,71.0
2020-01-01,46.0
2020-02-01,48.0
2020-03-01,51.0
2020-04-01,26.0
2020-05-01,29.0
2020-06-01,41.0
2020-07-01,34.0
2020-08-01,35.0
2020-09-01,32.0
2020-10-01,38.0
2020-11-01,30.0
2020-12-01,39.0
2021-01-01,26.0
2021-02-01,31.0
2021-03-01,40.0
2021-04-01,39.0
2021-05-01,46.0
2021-06-01,54.0
2021-07-01,65.0
2021-08-01,54.0
2021-09-01,53.0
2021-10-01,49.0
2021-11-01,56.0
2021-12-01,57.0
