date_dt,unemp,CPI_U,GasPrice,CDD,CHMR,CTA,osm_shop_count,osm_net_new,chicago_search_sentiment
2015-01-01,5.70%,225.852,2.072,0,27606708.14,39461715,1037.0,,64.0
2015-02-01,5.50%,225.763,2.36,0,29775106.31,38516587,1081.0,44.0,51.0
2015-03-01,5.40%,227.405,2.603,0,30069627.42,44908188,1122.0,41.0,75.0
2015-04-01,5.40%,227.704,2.672,0,28240772.58,43186487,1126.0,4.0,69.0
2015-05-01,5.60%,228.494,2.879,65,29078637.81,44674213,1131.0,5.0,87.0
2015-06-01,5.30%,228.837,3.116,125,30145865.18,43941538,1172.0,41.0,74.0
2015-07-01,5.20%,228.588,2.949,222,28859652.99,44380916,1258.0,86.0,85.0
2015-08-01,5.10%,229.527,3.035,206,28628423.14,43470075,1485.0,227.0,77.0
2015-09-01,5.00%,228.826,2.641,145,34437875.06,45070349,1493.0,8.0,69.0
2015-10-01,5.00%,228.6,2.559,9,23660620.29,47721320,1501.0,8.0,74.0
2015-11-01,5.10%,227.641,2.231,0,23554200.48,41599867,1503.0,2.0,82.0
2015-12-01,5.00%,226.271,2.027,0,28153259.56,39316959,1531.0,28.0,85.0
2016-01-01,4.80%,227.977,1.885,0,27798957.96,39925460,1569.0,38.0,61.0
2016-02-01,4.90%,227.438,1.606,0,29768756.1,38776369,1577.0,8.0,56.0
2016-03-01,5.00%,227.778,2.001,0,31635672.07,43039648,1584.0,7.0,77.0
2016-04-01,5.10%,229.197,2.236,0,29923428.44,41725144,1643.0,59.0,81.0
2016-05-01,4.80%,229.247,2.4,47,30204767.94,42713453,1713.0,70.0,78.0
2016-06-01,4.90%,230.341,2.611,207,30119564.3,42230444,1775.0,62.0,84.0
2016-07-01,4.80%,228.454,2.3,303,29838990.11,41696808,1840.0,65.0,94.0
2016-08-01,4.90%,228.956,2.288,322,28282114.56,41446797,1851.0,11.0,81.0
2016-09-01,5.00%,230.282,2.311,153,35403923.46,43060220,1866.0,15.0,78.0
2016-10-01,4.90%,230.506,2.31,18,53375007.52,45583905,1895.0,29.0,77.0
2016-11-01,4.70%,230.969,2.135,0,56260939.89,40504644,1924.0,29.0,79.0
2016-12-01,4.70%,230.476,2.329,0,65962180.95,36391192,1967.0,43.0,78.0
2017-01-01,4.70%,232.155,2.447,0,62493840.67,37786715,1990.0,23.0,53.0
2017-02-01,4.60%,232.491,2.315,0,69627843.68,37488628,2026.0,36.0,65.0
2017-03-01,4.40%,232.225,2.347,0,75197274.15,41072863,2053.0,27.0,69.0
2017-04-01,4.40%,233.066,2.548,5,69006512.35,39786074,2088.0,35.0,78.0
2017-05-01,4.40%,233.443,2.431,30,68263674.45,41178701,2093.0,5.0,75.0
2017-06-01,4.30%,233.407,2.343,202,69553963.39,41193119,2121.0,28.0,83.0
2017-07-01,4.30%,233.514,2.382,264,67405675.01,39969663,2147.0,26.0,92.0
2017-08-01,4.40%,234.2,2.451,170,67825677.28,41021524,2166.0,19.0,92.0
2017-09-01,4.30%,235.177,2.579,124,81531774.9,42285990,2183.0,17.0,82.0
2017-10-01,4.20%,234.159,2.542,18,56297195.44,43816126,2198.0,15.0,87.0
2017-11-01,4.20%,235.206,2.741,0,56233617.77,38845428,2203.0,5.0,89.0
2017-12-01,4.10%,234.293,2.58,0,66386157.29,36051520,2213.0,10.0,82.0
2018-01-01,4.00%,236.267,2.685,0,65212635.32,35994884,2228.0,15.0,55.0
2018-02-01,4.10%,236.306,2.591,0,69421573.86,35402320,2253.0,25.0,57.0
2018-03-01,4.00%,236.388,2.636,0,73119893.78,39893267,2281.0,28.0,78.0
2018-04-01,4.00%,237.94,2.85,0,67781079.36,39373551,2293.0,12.0,67.0
2018-05-01,3.80%,238.91,3.078,128,68994675.1,40431897,2305.0,12.0,75.0
2018-06-01,4.00%,238.54,3.013,187,68813719.37,39599893,2322.0,17.0,93.0
2018-07-01,3.80%,237.87,2.943,291,67466235.42,39465213,2354.0,32.0,100.0
2018-08-01,3.80%,238.098,2.915,304,68308547.76,40048581,2379.0,25.0,97.0
2018-09-01,3.70%,238.957,2.936,125,81326655.43,41597367,2385.0,6.0,74.0
2018-10-01,3.80%,238.892,2.85,0,58821645.29,43590423,2403.0,18.0,73.0
2018-11-01,3.80%,237.511,2.487,0,56928622.95,37544425,2410.0,7.0,83.0
2018-12-01,3.90%,236.796,2.257,0,69006437.46,35501409,2418.0,8.0,87.0
2019-01-01,4.00%,238.218,2.161,0,65512498.04,33033146,2442.0,24.0,51.0
2019-02-01,3.80%,239.669,2.358,0,74052335.97,34944862,2505.0,63.0,49.0
2019-03-01,3.80%,240.019,2.707,0,76306913.9,31161797,2818.0,313.0,70.0
2019-04-01,3.70%,239.726,3.011,0,70785493.51,37874004,2973.0,155.0,66.0
2019-05-01,3.60%,241.758,3.112,33,73166741.22,39701953,3078.0,105.0,74.0
2019-06-01,3.60%,240.835,2.939,127,70562415.08,39583408,3120.0,42.0,80.0
2019-07-01,3.70%,241.589,3.039,350,71626171.02,38544689,3155.0,35.0,83.0
2019-08-01,3.60%,241.985,2.806,222,69887841.41,39332880,3149.0,-6.0,83.0
2019-09-01,3.50%,242.393,2.742,142,80402424.64,40504073,3179.0,30.0,72.0
2019-10-01,3.60%,243.236,2.678,0,54919556.82,41748713,3204.0,25.0,75.0
2019-11-01,3.60%,242.661,2.622,0,56461598.16,36961008,3235.0,31.0,81.0
2019-12-01,3.60%,242.079,2.584,0,68656689.25,34808947,3249.0,14.0,71.0
2020-01-01,3.60%,244.361,2.628,0,67846113.5,36072142,3275.0,26.0,46.0
2020-02-01,3.50%,244.407,2.575,0,73986096.51,34858049,3459.0,184.0,48.0
2020-03-01,4.40%,242.655,2.312,0,75961708.73,23233727,3563.0,104.0,51.0
2020-04-01,14.80%,240.364,1.879,0,72537143.53,8062778,3645.0,82.0,26.0
2020-05-01,13.20%,242.65,2.114,36,73233944.89,9178429,3789.0,144.0,29.0
2020-06-01,11.00%,243.475,2.288,221,71052949.49,10225049,4036.0,247.0,41.0
2020-07-01,10.20%,244.046,2.317,360,72032875.24,12746594,4112.0,76.0,34.0
2020-08-01,8.40%,244.341,2.303,270,69939707.75,12984554,4173.0,61.0,35.0
2020-09-01,7.80%,245.745,2.256,61,81607813.21,13053733,4270.0,97.0,32.0
2020-10-01,6.90%,245.584,2.2,0,58933107.67,13609917,4352.0,82.0,38.0
2020-11-01,6.70%,244.61,2.121,0,54947219.99,11427941,4417.0,65.0,30.0
2020-12-01,6.70%,244.235,2.238,0,50419580.68,11024833,4552.0,135.0,39.0
2021-01-01,6.40%,246.008,2.418,0,38476836.9,10980903,4625.0,73.0,26.0
2021-02-01,6.20%,247.387,2.607,0,46109877.15,10552678,4701.0,76.0,31.0
2021-03-01,6.10%,248.984,2.911,0,56464654.48,13465695,4754.0,53.0,40.0
2021-04-01,6.10%,251.491,3.019,0,61177461.54,13768950,4807.0,53.0,39.0
2021-05-01,5.80%,253.934,3.169,42,60080433.44,15100909,4839.0,32.0,46.0
2021-06-01,5.90%,254.974,3.422,249,61922896.3,16504335,4851.0,12.0,54.0
2021-07-01,5.40%,255.929,3.475,264,59972884.82,18566992,4868.0,17.0,65.0
2021-08-01,5.10%,256.078,3.462,333,55502405.69,19095700,4945.0,77.0,54.0
2021-09-01,4.70%,256.881,3.466,148,68824077.96,20883918,5006.0,61.0,53.0
2021-10-01,4.50%,258.621,3.574,31,57567755.4,21270174,5038.0,32.0,49.0
2021-11-01,4.20%,259.254,3.629,0,54773167.33,18767083,5044.0,6.0,56.0
2021-12-01,3.90%,260.368,3.488,0,81000519.72,17322199,5138.0,94.0,57.0
