date_dt,unemp,CPI_U,GasPrice,CDD,CHMR,CTA,osm_shop_count,osm_net_new,chicago_search_sentiment,,,,,,,,,,,,,,,,,,
1/1/15 0:00,7.2,225.852,2.128,0,27606708.14,39461715,1037,,64,,,,,,,,,,,,,,,,,,
2/1/15 0:00,6.9,225.763,2.381,0,29775106.31,38516587,1081,44,51,,,,,,,,,,,,,,,,,,
3/1/15 0:00,6.5,227.405,2.615,0,30069627.42,44908188,1122,41,75,,,,,,,,,,,,,,,,,,
4/1/15 0:00,6.1,227.704,2.701,0,28240772.58,43186487,1126,4,69,,,,,,,,,,,,,,,,,,
5/1/15 0:00,6.3,228.494,2.912,65,29078637.81,44674213,1131,5,87,,,,,,,,,,,,,,,,,,
6/1/15 0:00,6.7,228.837,3.118,125,30145865.18,43941538,1172,41,74,,,,,,,,,,,,,,,,,,
7/1/15 0:00,6.5,228.588,2.977,222,28859652.99,44380916,1258,86,85,,,,,,,,,,,,,,,,,,
8/1/15 0:00,6.2,229.527,2.982,206,28628423.14,43470075,1485,227,77,,,,,,,,,,,,,,,,,,
9/1/15 0:00,5.6,228.826,2.678,145,34437875.06,45070349,1493,8,69,,,,,,,,,,,,,,,,,,
10/1/15 0:00,5.8,228.6,2.585,9,23660620.29,47721320,1501,8,74,,,,,,,,,,,,,,,,,,
11/1/15 0:00,5.9,227.641,2.2,0,23554200.48,41599867,1503,2,82,,,,,,,,,,,,,,,,,,
12/1/15 0:00,6.0,226.271,2.074,0,28153259.56,39316959,1531,28,85,,,,,,,,,,,,,,,,,,
1/1/16 0:00,6.8,227.977,1.94,0,27798957.96,39925460,1569,38,61,,,,,,,,,,,,,,,,,,
2/1/16 0:00,6.7,227.438,1.681,0,29768756.1,38776369,1577,8,56,,,,,,,,,,,,,,,,,,
3/1/16 0:00,6.5,227.778,2.072,0,31635672.07,43039648,1584,7,77,,,,,,,,,,,,,,,,,,
4/1/16 0:00,6.3,229.197,2.236,0,29923428.44,41725144,1643,59,81,,,,,,,,,,,,,,,,,,
5/1/16 0:00,5.9,229.247,2.446,47,30204767.94,42713453,1713,70,78,,,,,,,,,,,,,,,,,,
6/1/16 0:00,6.7,230.341,2.641,207,30119564.3,42230444,1775,62,84,,,,,,,,,,,,,,,,,,
7/1/16 0:00,6.2,228.454,2.328,303,29838990.11,41696808,1840,65,94,,,,,,,,,,,,,,,,,,
8/1/16 0:00,6.3,228.956,2.317,322,28282114.56,41446797,1851,11,81,,,,,,,,,,,,,,,,,,
9/1/16 0:00,6.1,230.282,2.326,153,35403923.46,43060220,1866,15,78,,,,,,,,,,,,,,,,,,
10/1/16 0:00,6.1,230.506,2.304,18,53375007.52,45583905,1895,29,77,,,,,,,,,,,,,,,,,,
11/1/16 0:00,5.4,230.969,2.2,0,56260939.89,40504644,1924,29,79,,,,,,,,,,,,,,,,,,
12/1/16 0:00,5.2,230.476,2.402,0,65962180.95,36391192,1967,43,78,,,,,,,,,,,,,,,,,,
1/1/17 0:00,5.7,232.155,2.44,0,62493840.67,37786715,1990,23,53,,,,,,,,,,,,,,,,,,
