date,Sales Tax Revenue,unemp,GasPrice,metro_ridership,CPI_U,la_search_sentiment,la_news_sentiment
2018-04-01,"30,841,108.98",4.6,3.594,7551520,265.095,76,-1.41178
2018-05-01,"34,742,239.23",4.6,3.729,7546228,266.148,77,-0.531312903
2018-06-01,"30,957,502.65",4.6,3.684,7395400,265.522,76,0.45152
2018-07-01,"46,171,411.26",4.6,3.633,7166864,266.007,100,-0.2725
2018-08-01,"42,122,456.00",4.6,3.61,7444467,266.665,100,-0.692283871
2018-09-01,"27,401,243.18",4.7,3.676,7700038,268.032,82,0.35987
2018-10-01,"37,199,066.93",4.7,3.844,7685445,269.482,69,0.578122581
2018-11-01,"35,210,922.64",4.7,3.64,7406887,268.56,68,-0.179896667
2018-12-01,"39,926,710.29",4.7,3.41,7035392,267.631,80,0.788254839
2019-01-01,"36,183,361.66",4.7,3.277,6934172,269.468,69,0.505548387
2019-02-01,"35,044,938.85",4.6,3.315,6999535,269.608,61,0.0079
2019-03-01,"30,960,605.41",4.5,3.47,7178643,271.311,68,0.141706452
2019-04-01,"34,735,607.27",4.4,3.987,7209105,273.945,79,-0.12879
2019-05-01,"39,534,352.11",4.4,4.012,7234243,274.479,75,0.364148387
2019-06-01,"33,834,998.04",4.4,3.741,7032554,274.38,76,-0.127226667
2019-07-01,"36,077,946.55",4.4,3.689,6820579,274.682,93,0.355012903
2019-08-01,"39,924,332.31",4.4,3.563,6975427,274.579,86,-0.85913871
2019-09-01,"36,473,208.91",4.4,3.769,7290346,276.054,66,-0.063896667
2019-10-01,"34,285,148.18",4.5,4.144,7290571,278.075,57,-0.238648387
2019-11-01,"34,810,769.41",4.6,3.959,7050866,277.239,67,0.699133333
2019-12-01,"49,135,085.50",4.7,3.641,6717876,275.553,67,1.036003226
2020-01-01,"31,504,948.34",4.9,3.553,6922146,277.755,49,0.036358065
2020-02-01,"28,828,407.36",5.1,3.535,7271208,278.657,56,-0.103868966
2020-03-01,"20,292,748.37",6.1,3.274,4648428,276.589,53,-1.525616129
2020-04-01,"29,389,519.01",17.4,2.877,2326922,275.853,28,-1.519026667
2020-05-01,"38,185,088.68",18.8,2.802,2798389,276.842,35,-1.680890323
