date,sales_tax,unemp,GasPrice,ridership,nyc_search
2019-01-01,671209391.3,4.3,2.378,188687167.4,52
2019-02-01,567550477.7,4.3,2.359,177541360.6,59
2019-03-01,735340634.6,4.2,2.538,202411339.0,74
2019-04-01,612572583.5,4.0,2.777,202479578.0,75
2019-05-01,616518625.6,3.9,2.897,211411774.8,71
2019-06-01,816114418.6,3.9,2.762,196885650.4,77
2019-07-01,612715713.5,3.8,2.776,195885710.9,77
2019-08-01,621095038.1,3.8,2.696,193002494.0,95
2019-09-01,824734029.7,3.8,2.578,201776455.7,71
2019-10-01,655446550.6,3.8,2.524,216721203.3,70
2019-11-01,661374106.2,3.9,2.542,195888860.8,75
2019-12-01,834022605.1,4.0,2.532,192563887.6,89
2020-01-01,744412549.1,4.1,2.572,193406519.7,61
2020-02-01,609993774.7,4.3,2.457,183322044.2,54
2020-03-01,644875133.0,4.5,2.303,105511126.9,48
2020-04-01,470770554.7,12.7,2.044,12266906.88,27
2020-05-01,420070116.9,21.5,1.999,15727112.65,17
2020-06-01,441162453.3,17.2,2.081,24569537.86,28
2020-07-01,568102403.8,16.6,2.127,33310283.83,25
2020-08-01,577167356.4,14.8,2.118,36762228.39,24
2020-09-01,462758355.4,14.3,2.126,70727789.0,30
2020-10-01,620926206.0,13.2,2.121,78071387.0,28
2020-11-01,618342745.2,12.9,2.089,70668340.0,23
2020-12-01,513974499.8,12.6,2.193,69965602.0,29
2021-01-01,699420513.1,12.2,2.372,66405921.0,20
2021-02-01,582813002.7,11.9,2.547,62137952.0,20
2021-03-01,453879504.9,11.5,2.794,81292516.0,27
2021-04-01,657268519.5,11.2,2.794,83716874.0,30
2021-05-01,635826509.1,10.5,2.963,90127576.48,32
2021-06-01,633196905.6,10.6,3.034,98515643.0,43
2021-07-01,648994281.7,9.9,3.105,100074353.0,47
2021-08-01,622580502.5,9.6,3.123,99339004.0,47
2021-09-01,785062234.0,8.8,3.193,109168775.0,42
2021-10-01,672349973.4,8.4,3.309,121588106.0,43
2021-11-01,695983848.0,8.0,3.437,118127322.0,58
2021-12-01,845184516.6,8.0,3.389,112807735.0,61
2022-01-01,775413157.0,7.6,3.355,92392554.0,38
2022-02-01,643343893.4,6.9,3.582,100744352.0,46
2022-03-01,812363007.7,6.4,4.241,125463837.0,50
2022-04-01,726172356.3,6.1,4.025,119350034.0,62
2022-05-01,720383719.6,5.7,4.591,125478917.0,59
2022-06-01,959369169.2,5.4,4.897,125027589.0,61
2022-07-01,775803088.1,4.9,4.541,115649532.0,66
2022-08-01,750789758.7,4.4,4.032,119318038.0,63
2022-09-01,874929271.4,4.7,3.513,128846279.0,58
2022-10-01,788549402.3,5.0,3.523,133314289.0,62
2022-11-01,770454416.3,5.1,3.74,127032715.0,57
2022-12-01,968568234.8,5.2,3.297,126509676.0,70
2023-01-01,843571823.0,5.3,3.306,124205988.0,48
2023-02-01,717827873.4,5.2,3.292,117533522.0,49
2023-03-01,921526457.5,5.2,3.264,140879573.0,55
2023-04-01,756211907.2,5.0,3.433,129943939.0,61
2023-05-01,743906941.1,4.9,3.477,144197594.0,57
2023-06-01,993846412.9,4.9,3.497,134314530.0,55
2023-07-01,777153982.0,4.8,3.55,126058876.0,60
2023-08-01,759856782.3,4.8,3.746,130101361.0,58
2023-09-01,983240813.3,4.8,3.715,130258624.0,57
2023-10-01,809270609.2,4.8,3.541,141178200.0,55
2023-11-01,815456448.9,4.8,3.334,132095256.0,54
2023-12-01,1012880491.0,4.8,3.186,128213759.0,63
2024-01-01,872743283.9,4.8,3.073,123105194.0,44
2024-02-01,758521206.4,4.8,3.143,121563743.0,46
2024-03-01,931060898.8,4.9,3.234,133994364.0,57
2024-04-01,785742348.6,5.0,3.423,133495094.0,59
2024-05-01,783413537.8,5.0,3.477,140941014.0,57
2024-06-01,1007221344.0,5.1,3.497,129035988.0,65
2024-07-01,768013000.5,5.1,3.55,126540608.0,67
2024-08-01,792931183.9,5.1,3.746,124730107.0,67
2024-09-01,987556443.5,5.1,3.715,140608833.0,60
2024-10-01,842236448.4,5.0,3.541,153683402.0,62
2024-11-01,848329292.4,5.0,3.334,138166670.0,64
2024-12-01,1041258700.0,4.9,3.186,138035111.9,72
2025-01-01,908144735.1,4.9,2.995,134014877.5,47
2025-02-01,782379179.1,4.8,3.008,127798053.0,50
2025-03-01,973206632.3,4.9,2.923,147703161.0,54
2025-04-01,814435231.0,4.9,2.962,148989426.0,51
2025-05-01,837164865.8,5.0,2.983,152905754.0,54
2025-06-01,1065166314.0,5.2,3.015,143840487.0,58
2025-07-01,847511798.8,5.4,3.019,144515617.0,71
2025-08-01,846760607.3,5.5,3.027,138978262.0,64
2025-09-01,1053221264.0,5.7,3.073,148774656.0,61
2025-10-01,888445694.8,5.7,2.959,153963041.0,66
2025-11-01,947925038.7,5.7,2.962,139391989.0,78
2025-12-01,975215337.0,5.7,2.882,143229208.0,100
2026-01-01,983762077.4,5.7,2.749,130981042.0,70
2026-02-01,829580190.1,5.8,2.814,123210537.4,59
2026-03-01,1016835577.0,5.7,3.482,150157246.0,68
2026-04-01,896479339.5,5.6,4.009,146856671.0,66
2026-05-01,876148199.8,5.4,4.462,147207651.3,65
