time [UTC],shopping los angeles
2018-04-01,76
2018-05-01,77
2018-06-01,76
2018-07-01,100
2018-08-01,100
2018-09-01,82
2018-10-01,69
2018-11-01,68
2018-12-01,80
2019-01-01,69
2019-02-01,61
2019-03-01,68
2019-04-01,79
2019-05-01,75
2019-06-01,76
2019-07-01,93
2019-08-01,86
2019-09-01,66
2019-10-01,57
2019-11-01,67
2019-12-01,67
2020-01-01,49
2020-02-01,56
2020-03-01,53
2020-04-01,28
2020-05-01,35
2020-06-01,32
2020-07-01,27
2020-08-01,33
2020-09-01,37
2020-10-01,32
2020-11-01,30
2020-12-01,30
2021-01-01,19
2021-02-01,25
2021-03-01,33
2021-04-01,37
2021-05-01,38
2021-06-01,45
2021-07-01,46
2021-08-01,48
2021-09-01,37
2021-10-01,37
2021-11-01,49
2021-12-01,55
2022-01-01,42
2022-02-01,48
2022-03-01,51
2022-04-01,48
2022-05-01,48
2022-06-01,52
2022-07-01,64
2022-08-01,62
2022-09-01,57
2022-10-01,45
2022-11-01,46
2022-12-01,56
2023-01-01,43
2023-02-01,44
2023-03-01,53
2023-04-01,58
2023-05-01,44
2023-06-01,50
2023-07-01,68
2023-08-01,59
2023-09-01,49
2023-10-01,47
2023-11-01,48
2023-12-01,52
2024-01-01,43
2024-02-01,44
2024-03-01,51
2024-04-01,44
2024-05-01,50
2024-06-01,43
2024-07-01,50
2024-08-01,60
2024-09-01,36
2024-10-01,38
2024-11-01,37
2024-12-01,49
2025-01-01,36
2025-02-01,31
2025-03-01,39
2025-04-01,34
2025-05-01,35
2025-06-01,43
2025-07-01,50
2025-08-01,44
2025-09-01,34
2025-10-01,35
2025-11-01,59
2025-12-01,69
2026-01-01,49
2026-02-01,58
2026-03-01,60
2026-04-01,49
