line_name,year,month,est_wkday_ridership,est_sat_ridership,est_sun_ridership
Line 2,2018,4,12937,8203,6497
Line 2,2018,5,12675,8236,6619
Line 2,2018,6,12235,8114,6882
Line 2,2018,7,11928,8087,6527
Line 2,2018,8,12466,8265,6863
Line 2,2018,9,12586,8397,6670
Line 2,2018,10,12774,8028,6553
Line 2,2018,11,11741,7684,6083
Line 2,2018,12,10402,7641,5589
Line 2,2019,1,10780,6734,5528
Line 2,2019,2,11593,6947,5709
Line 2,2019,3,11685,7348,5964
Line 2,2019,4,11865,7825,6272
Line 2,2019,5,12129,7878,5790
Line 2,2019,6,11857,8206,7049
Line 2,2019,7,11667,7897,6078
Line 2,2019,8,11921,8347,6829
Line 2,2019,9,12511,8161,6650
Line 2,2019,10,13100,8114,6543
Line 2,2019,11,11710,7888,5844
Line 2,2019,12,10737,7359,5405
Line 2,2020,1,11344,7363,5499
Line 2,2020,2,12194,7926,6044
Line 2,2020,3,7304,4948,4022
Line 2,2020,4,3108,2700,2054
Line 2,2020,5,3617,3260,2795
Line 2,2020,6,4340,3536,3107
Line 2,2020,7,4917,4226,4075
Line 2,2020,8,5176,4213,3517
Line 2,2020,9,5364,4363,3660
Line 2,2020,10,5467,4336,3817
Line 2,2020,11,5495,4198,3645
Line 2,2020,12,5029,4030,3224
Line 2,2021,1,4515,3757,3173
Line 2,2021,2,5025,4400,3208
Line 2,2021,3,5322,4445,3736
Line 2,2021,4,5952,4692,3959
Line 2,2021,5,6238,5104,4204
Line 2,2021,6,6599,5472,4520
Line 2,2021,7,7520,5901,4781
Line 2,2021,8,8166,6160,5042
Line 2,2021,9,8549,5900,4895
Line 2,2021,10,8914,6265,4896
Line 2,2021,11,8428,6000,4408
Line 2,2021,12,10091,0,7078
Line 2,2022,1,12913,10221,8731
Line 2,2022,2,13678,10519,8486
Line 2,2022,3,14982,11321,9694
Line 2,2022,4,15248,11537,9723
Line 2,2022,5,15979,11771,10106
Line 2,2022,6,15826,11849,10214
Line 2,2022,7,15874,12557,10812
Line 2,2022,8,16727,13198,10418
Line 2,2022,9,18178,13272,10876
Line 2,2022,10,18662,13452,11038
Line 2,2022,11,17073,13217,10605
Line 2,2022,12,15825,11981,9689
Line 2,2023,1,15504,11881,10046
Line 2,2023,2,16576,12528,10962
Line 2,2023,3,16338,13391,11242
Line 2,2023,4,17433,14141,11719
Line 2,2023,5,17713,13913,11443
Line 2,2023,6,17531,14644,12115
Line 2,2023,7,17226,14211,11340
Line 2,2023,8,18021,14414,10882
Line 2,2023,9,18610,13917,11922
Line 2,2023,10,19136,14566,12618
Line 2,2023,11,17962,13702,11680
Line 2,2023,12,17200,13674,10988
Line 2,2024,1,17631,13004,11145
Line 2,2024,2,17842,14368,11821
Line 2,2024,3,18992,13754,12469
Line 2,2024,4,19460,14636,12894
Line 2,2024,5,19315,14490,12770
