date,year,month,total_wkday_avg,total_sat_avg,total_sun_avg,weekly_total
2018-04-01,2018,4,1235906,767099.0,604891.0,7551520.0
2018-05-01,2018,5,1237220,757553.0,602575.0,7546228.0
2018-06-01,2018,6,1205805,753972.0,612403.0,7395400.0
2018-07-01,2018,7,1163985,744385.0,602554.0,7166864.0
2018-08-01,2018,8,1210844,767399.0,622848.0,7444467.0
2018-09-01,2018,9,1261942,770812.0,619516.0,7700038.0
2018-10-01,2018,10,1265751,745480.0,611210.0,7685445.0
2018-11-01,2018,11,1211839,742935.0,604757.0,7406887.0
2018-12-01,2018,12,1142882,746027.0,574955.0,7035392.0
2019-01-01,2019,1,1138190,681892.0,561330.0,6934172.0
2019-02-01,2019,2,1161486,661178.0,530927.0,6999535.0
2019-03-01,2019,3,1180375,695980.0,580788.0,7178643.0
2019-04-01,2019,4,1180730,725261.0,580194.0,7209105.0
2019-05-01,2019,5,1188702,732410.0,558323.0,7234243.0
2019-06-01,2019,6,1144856,729611.0,578663.0,7032554.0
2019-07-01,2019,7,1107657,715083.0,567211.0,6820579.0
2019-08-01,2019,8,1131420,732599.0,585728.0,6975427.0
2019-09-01,2019,9,1197728,723593.0,578113.0,7290346.0
2019-10-01,2019,10,1195752,735829.0,575982.0,7290571.0
2019-11-01,2019,11,1154990,729515.0,546401.0,7050866.0
2019-12-01,2019,12,1096110,710509.0,526817.0,6717876.0
2020-01-01,2020,1,1133156,715319.0,541047.0,6922146.0
2020-02-01,2020,2,1192856,740987.0,565941.0,7271208.0
2020-03-01,2020,3,756162,457148.0,410470.0,4648428.0
2020-04-01,2020,4,363777,288643.0,219394.0,2326922.0
2020-05-01,2020,5,434056,346369.0,281740.0,2798389.0
2020-06-01,2020,6,518864,418518.0,353338.0,3366176.0
2020-07-01,2020,7,545437,429544.0,409878.0,3566607.0
2020-08-01,2020,8,560483,440766.0,359537.0,3602718.0
2020-09-01,2020,9,587191,458680.0,372679.0,3767314.0
2020-10-01,2020,10,598980,476798.0,388550.0,3860248.0
2020-11-01,2020,11,591663,450463.0,367622.0,3776400.0
2020-12-01,2020,12,536968,411783.0,320769.0,3417392.0
2021-01-01,2021,1,488090,380266.0,311442.0,3132158.0
2021-02-01,2021,2,536414,429896.0,349798.0,3461764.0
2021-03-01,2021,3,568288,464336.0,372269.0,3678045.0
2021-04-01,2021,4,620824,484335.0,390433.0,3978888.0
2021-05-01,2021,5,644062,505646.0,407388.0,4133344.0
2021-06-01,2021,6,677180,534588.0,432486.0,4352974.0
2021-07-01,2021,7,710476,556758.0,453679.0,4562817.0
2021-08-01,2021,8,766078,565188.0,461139.0,4856717.0
2021-09-01,2021,9,816674,566240.0,472246.0,5121856.0
2021-10-01,2021,10,841392,587883.0,479564.0,5274407.0
2021-11-01,2021,11,843450,591638.0,472980.0,5281868.0
2021-12-01,2021,12,739557,0.0,448297.0,4146082.0
2022-01-01,2022,1,683741,483048.0,407579.0,4309332.0
2022-02-01,2022,2,746986,525237.0,411326.0,4671493.0
2022-03-01,2022,3,784123,559228.0,460733.0,4940576.0
2022-04-01,2022,4,784337,560196.0,455695.0,4937576.0
2022-05-01,2022,5,801758,564506.0,469001.0,5042297.0
2022-06-01,2022,6,780761,578140.0,479551.0,4961496.0
2022-07-01,2022,7,756566,582451.0,476739.0,4842020.0
2022-08-01,2022,8,797543,587110.0,478641.0,5053466.0
2022-09-01,2022,9,855209,593649.0,489017.0,5358711.0
2022-10-01,2022,10,885226,606268.0,513620.0,5546018.0
2022-11-01,2022,11,824871,599792.0,480669.0,5204816.0
2022-12-01,2022,12,793147,537540.0,449229.0,4952504.0
2023-01-01,2023,1,790587,548273.0,470280.0,4971488.0
2023-02-01,2023,2,854185,569228.0,511554.0,5351707.0
2023-03-01,2023,3,834600,609541.0,498437.0,5280978.0
2023-04-01,2023,4,885292,652140.0,533318.0,5611918.0
2023-05-01,2023,5,905924,640345.0,528732.0,5698697.0
2023-06-01,2023,6,875409,655370.0,550647.0,5583062.0
2023-07-01,2023,7,849742,647912.0,546956.0,5443578.0
2023-08-01,2023,8,895876,668780.0,506448.0,5654608.0
2023-09-01,2023,9,946438,644093.0,548999.0,5925282.0
2023-10-01,2023,10,963227,672940.0,567145.0,6056220.0
2023-11-01,2023,11,913556,639706.0,529545.0,5737031.0
2023-12-01,2023,12,865550,632475.0,513093.0,5473318.0
2024-01-01,2024,1,874694,600705.0,499174.0,5473349.0
2024-02-01,2024,2,878721,668053.0,521284.0,5582942.0
2024-03-01,2024,3,955679,606081.0,554888.0,5939364.0
2024-04-01,2024,4,967324,675389.0,555348.0,6067357.0
2024-05-01,2024,5,980634,676340.0,576833.0,6156343.0
2024-06-01,2024,6,939407,690010.0,587445.0,5974490.0
2024-07-01,2024,7,903338,678592.0,575716.0,5770998.0
2024-08-01,2024,8,963068,700482.0,594135.0,6109957.0
2024-09-01,2024,9,1023399,699960.0,584450.0,6401405.0
2024-10-01,2024,10,1025262,714513.0,591899.0,6432722.0
2024-11-01,2024,11,978398,697845.0,572321.0,6162156.0
2024-12-01,2024,12,927149,669080.0,544708.0,5849533.0
2025-01-01,2025,1,918375,646397.0,513705.0,5751977.0
2025-02-01,2025,2,945771,694472.0,583819.0,6007146.0
2025-03-01,2025,3,957592,702694.0,577696.0,6068350.0
2025-04-01,2025,4,978740,703296.0,594555.0,6191551.0
2025-05-01,2025,5,1003486,688186.0,587877.0,6293493.0
2025-06-01,2025,6,877008,626301.0,565843.0,5577184.0
2025-07-01,2025,7,840500,611760.0,535825.0,5350085.0
2025-08-01,2025,8,893583,640234.0,552737.0,5660886.0
2025-09-01,2025,9,976313,676980.0,578985.0,6137530.0
2025-10-01,2025,10,974404,693455.0,579704.0,6145179.0
2025-11-01,2025,11,908926,613027.0,537200.0,5694857.0
2025-12-01,2025,12,891056,655434.0,527593.0,5638307.0
2026-01-01,2026,1,879767,594284.0,488452.0,5481571.0
2026-02-01,2026,2,920289,669617.0,554724.0,5825786.0
2026-03-01,2026,3,966951,666915.0,572703.0,6074373.0
2026-04-01,2026,4,966538,675302.0,566818.0,6074810.0
2026-05-01,2026,5,1005484,707233.0,594412.0,6329065.0
