date,sales_tax,unemp,GasPrice,ridership,nyc_search
1/1/19,671209391.3,4.3,2.378,188687167.4,52
2/1/19,567550477.7,4.3,2.359,177541360.6,59
3/1/19,735340634.6,4.2,2.538,202411339,74
4/1/19,612572583.5,4,2.777,202479578,75
5/1/19,616518625.6,3.9,2.897,211411774.8,71
6/1/19,816114418.6,3.9,2.762,196885650.4,77
7/1/19,612715713.5,3.8,2.776,195885710.9,77
8/1/19,621095038.1,3.8,2.696,193002494,95
9/1/19,824734029.7,3.8,2.578,201776455.7,71
10/1/19,655446550.6,3.8,2.524,216721203.3,70
11/1/19,661374106.2,3.9,2.542,195888860.8,75
12/1/19,834022605.1,4,2.532,192563887.6,89
1/1/20,744412549.1,4.1,2.572,193406519.7,61
2/1/20,609993774.7,4.3,2.457,183322044.2,54
3/1/20,644875133,4.5,2.303,105511126.9,48
4/1/20,470770554.7,12.7,2.044,12266906.88,27
5/1/20,420070116.9,21.5,1.999,15727112.65,17
6/1/20,441162453.3,17.2,2.081,24569537.86,28
7/1/20,568102403.8,16.6,2.127,33310283.83,25
8/1/20,577167356.4,14.8,2.118,36762228.39,24
9/1/20,462758355.4,14.3,2.126,70727789,30
10/1/20,620926206,13.2,2.121,78071387,28
11/1/20,618342745.2,12.9,2.089,70668340,23
12/1/20,513974499.8,12.6,2.193,69965602,29
1/1/21,699420513.1,12.2,2.372,66405921,20
2/1/21,582813002.7,11.9,2.547,62137952,20
3/1/21,453879504.9,11.5,2.794,81292516,27
4/1/21,657268519.5,11.2,2.794,83716874,30
5/1/21,635826509.1,10.5,2.963,90127576.48,32
6/1/21,633196905.6,10.6,3.034,98515643,43
7/1/21,648994281.7,9.9,3.105,100074353,47
8/1/21,622580502.5,9.6,3.123,99339004,47
9/1/21,785062234,8.8,3.193,109168775,42
10/1/21,672349973.4,8.4,3.309,121588106,43
11/1/21,695983848,8,3.437,118127322,58
12/1/21,845184516.6,8,3.389,112807735,61
1/1/22,775413157,7.6,3.355,92392554,38
2/1/22,643343893.4,6.9,3.582,100744352,46
3/1/22,812363007.7,6.4,4.241,125463837,50
4/1/22,726172356.3,6.1,4.025,119350034,62
5/1/22,720383719.6,5.7,4.591,125478917,59
6/1/22,959369169.2,5.4,4.897,125027589,61
7/1/22,775803088.1,4.9,4.541,115649532,66
8/1/22,750789758.7,4.4,4.032,119318038,63
9/1/22,874929271.4,4.7,3.513,128846279,58
10/1/22,788549402.3,5,3.523,133314289,62
11/1/22,770454416.3,5.1,3.74,127032715,57
12/1/22,968568234.8,5.2,3.297,126509676,70
1/1/23,843571823,5.3,3.306,124205988,48
2/1/23,717827873.4,5.2,3.292,117533522,49
3/1/23,921526457.5,5.2,3.264,140879573,55
4/1/23,756211907.2,5,3.433,129943939,61
5/1/23,743906941.1,4.9,3.477,144197594,57
6/1/23,993846412.9,4.9,3.497,134314530,55
7/1/23,777153982,4.8,3.55,126058876,60
8/1/23,759856782.3,4.8,3.746,130101361,58
9/1/23,983240813.3,4.8,3.715,130258624,57
10/1/23,809270609.2,4.8,3.541,141178200,55
11/1/23,815456448.9,4.8,3.334,132095256,54
12/1/23,1012880491,4.8,3.186,128213759,63
1/1/24,872743283.9,4.8,3.073,123105194,44
2/1/24,758521206.4,4.8,3.143,121563743,46
3/1/24,931060898.8,4.9,3.234,133994364,57
4/1/24,785742348.6,5,3.423,133495094,59
5/1/24,783413537.8,5,3.477,140941014,57
6/1/24,1007221344,5.1,3.497,129035988,65
7/1/24,768013000.5,5.1,3.55,126540608,67
8/1/24,792931183.9,5.1,3.746,124730107,67
9/1/24,987556443.5,5.1,3.715,140608833,60
10/1/24,842236448.4,5,3.541,153683402,62
11/1/24,848329292.4,5,3.334,138166670,64
12/1/24,1041258700,4.9,3.186,138035111.9,72
1/1/25,908144735.1,4.9,2.995,134014877.5,47
2/1/25,782379179.1,4.8,3.008,127798053,50
3/1/25,973206632.3,4.9,2.923,147703161,54
4/1/25,814435231,4.9,2.962,148989426,51
5/1/25,837164865.8,5,2.983,152905754,54
6/1/25,1065166314,5.2,3.015,143840487,58
7/1/25,847511798.8,5.4,3.019,144515617,71
8/1/25,846760607.3,5.5,3.027,138978262,64
9/1/25,1053221264,5.7,3.073,148774656,61
10/1/25,888445694.8,5.7,2.959,153963041,66
11/1/25,947925038.7,5.7,2.962,139391989,78
12/1/25,975215337,5.7,2.882,143229208,100
1/1/26,983762077.4,5.7,2.749,130981042,70
2/1/26,829580190.1,5.8,2.814,123210537.4,59
3/1/26,1016835577,5.7,3.482,150157246,68
4/1/26,896479339.5,5.6,4.009,146856671,66
5/1/26,876148199.8,5.4,4.462,147207651.3,65
