,coef_log_dev,p_value,approx_pct_effect_vs_Jan
m_2,-0.14630266115789378,0.0021074089649315807,-13.610380421034417
m_3,0.0021650575446302,0.9800369434672698,0.21674029740736955
m_4,-0.1324944710005338,0.017772768266080378,-12.40922230135536
m_5,-0.16373204142562414,0.0031711232882097214,-15.103051994427407
m_6,0.04004195891979494,0.5041035009795316,4.085444640439739
m_7,-0.09264333636205713,0.21098567475001995,-8.848145215229852
m_8,-0.10002904803648545,0.15661679259619155,-9.518886533263093
m_9,0.028475305140370902,0.5011572511094542,2.888460235996604
m_10,-0.09784852718301079,0.11081407668210619,-9.321375318099944
m_11,-0.07551816561475233,0.18884477073348704,-7.273711391935834
m_12,0.09503034444513668,0.3056016917482668,9.969222417018141
