time [UTC],shopping nyc
2019-01-01,52
2019-02-01,59
2019-03-01,74
2019-04-01,75
2019-05-01,71
2019-06-01,77
2019-07-01,77
2019-08-01,95
2019-09-01,71
2019-10-01,70
2019-11-01,75
2019-12-01,89
2020-01-01,61
2020-02-01,54
2020-03-01,48
2020-04-01,27
2020-05-01,17
2020-06-01,28
2020-07-01,25
2020-08-01,24
2020-09-01,30
2020-10-01,28
2020-11-01,23
2020-12-01,29
2021-01-01,20
2021-02-01,20
2021-03-01,27
2021-04-01,30
2021-05-01,32
2021-06-01,43
2021-07-01,47
2021-08-01,47
2021-09-01,42
2021-10-01,43
2021-11-01,58
2021-12-01,61
2022-01-01,38
2022-02-01,46
2022-03-01,50
2022-04-01,62
2022-05-01,59
2022-06-01,61
2022-07-01,66
2022-08-01,63
2022-09-01,58
2022-10-01,62
2022-11-01,57
2022-12-01,70
2023-01-01,48
2023-02-01,49
2023-03-01,55
2023-04-01,61
2023-05-01,57
2023-06-01,55
2023-07-01,60
2023-08-01,58
2023-09-01,57
2023-10-01,55
2023-11-01,54
2023-12-01,63
2024-01-01,44
2024-02-01,46
2024-03-01,57
2024-04-01,59
2024-05-01,57
2024-06-01,65
2024-07-01,67
2024-08-01,67
2024-09-01,60
2024-10-01,62
2024-11-01,64
2024-12-01,72
2025-01-01,47
2025-02-01,50
2025-03-01,54
2025-04-01,51
2025-05-01,54
2025-06-01,58
2025-07-01,71
2025-08-01,64
2025-09-01,61
2025-10-01,66
2025-11-01,78
2025-12-01,100
2026-01-01,70
2026-02-01,59
2026-03-01,68
2026-04-01,66
2026-05-01,65
