date,osm_shop_count,osm_net_new
2015-01-01,1037.0,
2015-02-01,1081.0,44.0
2015-03-01,1122.0,41.0
2015-04-01,1126.0,4.0
2015-05-01,1131.0,5.0
2015-06-01,1172.0,41.0
2015-07-01,1258.0,86.0
2015-08-01,1485.0,227.0
2015-09-01,1493.0,8.0
2015-10-01,1501.0,8.0
2015-11-01,1503.0,2.0
2015-12-01,1531.0,28.0
2016-01-01,1569.0,38.0
2016-02-01,1577.0,8.0
2016-03-01,1584.0,7.0
2016-04-01,1643.0,59.0
2016-05-01,1713.0,70.0
2016-06-01,1775.0,62.0
2016-07-01,1840.0,65.0
2016-08-01,1851.0,11.0
2016-09-01,1866.0,15.0
2016-10-01,1895.0,29.0
2016-11-01,1924.0,29.0
2016-12-01,1967.0,43.0
2017-01-01,1990.0,23.0
2017-02-01,2026.0,36.0
2017-03-01,2053.0,27.0
2017-04-01,2088.0,35.0
2017-05-01,2093.0,5.0
2017-06-01,2121.0,28.0
2017-07-01,2147.0,26.0
2017-08-01,2166.0,19.0
2017-09-01,2183.0,17.0
2017-10-01,2198.0,15.0
2017-11-01,2203.0,5.0
2017-12-01,2213.0,10.0
2018-01-01,2228.0,15.0
2018-02-01,2253.0,25.0
2018-03-01,2281.0,28.0
2018-04-01,2293.0,12.0
2018-05-01,2305.0,12.0
2018-06-01,2322.0,17.0
2018-07-01,2354.0,32.0
2018-08-01,2379.0,25.0
2018-09-01,2385.0,6.0
2018-10-01,2403.0,18.0
2018-11-01,2410.0,7.0
2018-12-01,2418.0,8.0
2019-01-01,2442.0,24.0
2019-02-01,2505.0,63.0
2019-03-01,2818.0,313.0
2019-04-01,2973.0,155.0
2019-05-01,3078.0,105.0
2019-06-01,3120.0,42.0
2019-07-01,3155.0,35.0
2019-08-01,3149.0,-6.0
2019-09-01,3179.0,30.0
2019-10-01,3204.0,25.0
2019-11-01,3235.0,31.0
2019-12-01,3249.0,14.0
2020-01-01,3275.0,26.0
2020-02-01,3459.0,184.0
2020-03-01,3563.0,104.0
2020-04-01,3645.0,82.0
2020-05-01,3789.0,144.0
2020-06-01,4036.0,247.0
2020-07-01,4112.0,76.0
2020-08-01,4173.0,61.0
2020-09-01,4270.0,97.0
2020-10-01,4352.0,82.0
2020-11-01,4417.0,65.0
2020-12-01,4552.0,135.0
2021-01-01,4625.0,73.0
2021-02-01,4701.0,76.0
2021-03-01,4754.0,53.0
2021-04-01,4807.0,53.0
2021-05-01,4839.0,32.0
2021-06-01,4851.0,12.0
2021-07-01,4868.0,17.0
2021-08-01,4945.0,77.0
2021-09-01,5006.0,61.0
2021-10-01,5038.0,32.0
2021-11-01,5044.0,6.0
2021-12-01,5138.0,94.0
