time [UTC],shopping chicago
2021-12-26,54
2022-01-02,58
2022-01-09,48
2022-01-16,49
2022-01-23,38
2022-01-30,33
2022-02-06,42
2022-02-13,49
2022-02-20,65
2022-02-27,45
2022-03-06,55
2022-03-13,58
2022-03-20,70
2022-03-27,74
2022-04-03,76
2022-04-10,49
2022-04-17,73
2022-04-24,81
2022-05-01,66
2022-05-08,74
2022-05-15,72
2022-05-22,79
2022-05-29,56
2022-06-05,66
2022-06-12,64
2022-06-19,72
2022-06-26,63
2022-07-03,83
2022-07-10,72
2022-07-17,80
2022-07-24,89
2022-07-31,72
2022-08-07,77
2022-08-14,82
2022-08-21,60
2022-08-28,54
2022-09-04,67
2022-09-11,67
2022-09-18,67
2022-09-25,78
2022-10-02,77
2022-10-09,73
2022-10-16,75
2022-10-23,54
2022-10-30,55
2022-11-06,51
2022-11-13,64
2022-11-20,69
2022-11-27,71
2022-12-04,63
2022-12-11,69
2022-12-18,56
2022-12-25,84
2023-01-01,53
2023-01-08,32
2023-01-15,42
2023-01-22,48
2023-01-29,50
2023-02-05,47
2023-02-12,54
2023-02-19,43
2023-02-26,60
2023-03-05,64
2023-03-12,68
2023-03-19,62
2023-03-26,63
2023-04-02,90
2023-04-09,67
2023-04-16,51
2023-04-23,69
2023-04-30,52
2023-05-07,66
2023-05-14,62
2023-05-21,69
2023-05-28,72
2023-06-04,81
2023-06-11,80
2023-06-18,80
2023-06-25,84
2023-07-02,94
2023-07-09,77
2023-07-16,72
2023-07-23,74
2023-07-30,80
2023-08-06,64
2023-08-13,73
2023-08-20,50
2023-08-27,61
2023-09-03,69
2023-09-10,66
2023-09-17,51
2023-09-24,49
2023-10-01,68
2023-10-08,63
2023-10-15,62
2023-10-22,56
2023-10-29,65
2023-11-05,61
2023-11-12,53
2023-11-19,69
2023-11-26,59
2023-12-03,61
2023-12-10,63
2023-12-17,59
2023-12-24,80
2023-12-31,60
2024-01-07,44
2024-01-14,47
2024-01-21,39
2024-01-28,46
2024-02-04,48
2024-02-11,41
2024-02-18,53
2024-02-25,48
2024-03-03,42
2024-03-10,46
2024-03-17,60
2024-03-24,68
2024-03-31,65
2024-04-07,60
2024-04-14,53
2024-04-21,56
2024-04-28,49
2024-05-05,49
2024-05-12,57
2024-05-19,61
2024-05-26,55
2024-06-02,52
2024-06-09,54
2024-06-16,94
2024-06-23,78
2024-06-30,72
2024-07-07,60
2024-07-14,57
2024-07-21,63
2024-07-28,90
2024-08-04,64
2024-08-11,73
2024-08-18,41
2024-08-25,60
2024-09-01,72
2024-09-08,64
2024-09-15,59
2024-09-22,72
2024-09-29,46
2024-10-06,59
2024-10-13,65
2024-10-20,66
2024-10-27,56
2024-11-03,55
2024-11-10,54
2024-11-17,66
2024-11-24,78
2024-12-01,63
2024-12-08,54
2024-12-15,58
2024-12-22,97
2024-12-29,57
2025-01-05,30
2025-01-12,48
2025-01-19,40
2025-01-26,35
2025-02-02,43
2025-02-09,41
2025-02-16,42
2025-02-23,46
2025-03-02,46
2025-03-09,34
2025-03-16,49
2025-03-23,58
2025-03-30,53
2025-04-06,34
2025-04-13,65
2025-04-20,53
2025-04-27,46
2025-05-04,46
2025-05-11,41
2025-05-18,71
2025-05-25,55
2025-06-01,57
2025-06-08,69
2025-06-15,95
2025-06-22,65
2025-06-29,55
2025-07-06,69
2025-07-13,79
2025-07-20,87
2025-07-27,61
2025-08-03,75
2025-08-10,72
2025-08-17,78
2025-08-24,68
2025-08-31,58
2025-09-07,62
2025-09-14,69
2025-09-21,79
2025-09-28,77
2025-10-05,69
2025-10-12,72
2025-10-19,61
2025-10-26,68
2025-11-02,83
2025-11-09,81
2025-11-16,82
2025-11-23,100
2025-11-30,63
2025-12-07,86
2025-12-14,79
2025-12-21,92
2025-12-28,71
2026-01-04,63
2026-01-11,55
2026-01-18,57
2026-01-25,40
2026-02-01,51
2026-02-08,64
2026-02-15,70
2026-02-22,67
2026-03-01,71
2026-03-08,68
2026-03-15,69
2026-03-22,65
2026-03-29,71
