Year,Local Government,Tax,Vendor #,Month,Value,MonthNum,Date
2006,Cook County Government,CHMR,290000031,Jan,24966333.31,1,2006-01-01
2006,Cook County Government,CHMR,290000031,Feb,25298871.49,2,2006-02-01
2006,Cook County Government,CHMR,290000031,Mar,32189565.76,3,2006-03-01
2006,Cook County Government,CHMR,290000031,Apr,23541865.36,4,2006-04-01
2006,Cook County Government,CHMR,290000031,May,22336918.94,5,2006-05-01
2006,Cook County Government,CHMR,290000031,Jun,22754196.74,6,2006-06-01
2006,Cook County Government,CHMR,290000031,Jul,24084391.61,7,2006-07-01
2006,Cook County Government,CHMR,290000031,Aug,24797075.03,8,2006-08-01
2006,Cook County Government,CHMR,290000031,Sep,26889448.29,9,2006-09-01
2006,Cook County Government,CHMR,290000031,Oct,24853651.18,10,2006-10-01
2006,Cook County Government,CHMR,290000031,Nov,25309862.51,11,2006-11-01
2006,Cook County Government,CHMR,290000031,Dec,25653127.37,12,2006-12-01
2007,Cook County Government,CHMR,290000031,Jan,26166149.06,1,2007-01-01
2007,Cook County Government,CHMR,290000031,Feb,26493021.47,2,2007-02-01
2007,Cook County Government,CHMR,290000031,Mar,33345395.38,3,2007-03-01
2007,Cook County Government,CHMR,290000031,Apr,23122334.21,4,2007-04-01
2007,Cook County Government,CHMR,290000031,May,22208085.45,5,2007-05-01
2007,Cook County Government,CHMR,290000031,Jun,26250428.77,6,2007-06-01
2007,Cook County Government,CHMR,290000031,Jul,27956217.94,7,2007-07-01
2007,Cook County Government,CHMR,290000031,Aug,26448387.38,8,2007-08-01
2007,Cook County Government,CHMR,290000031,Sep,28289819.28,9,2007-09-01
2007,Cook County Government,CHMR,290000031,Oct,25869191.96,10,2007-10-01
2007,Cook County Government,CHMR,290000031,Nov,26569419.6,11,2007-11-01
2007,Cook County Government,CHMR,290000031,Dec,26997758.68,12,2007-12-01
2008,Cook County Government,CHMR,290000031,Jan,26700779.9,1,2008-01-01
2008,Cook County Government,CHMR,290000031,Feb,27489706.13,2,2008-02-01
2008,Cook County Government,CHMR,290000031,Mar,32511940.75,3,2008-03-01
2008,Cook County Government,CHMR,290000031,Apr,22975493.37,4,2008-04-01
2008,Cook County Government,CHMR,290000031,May,22323320.74,5,2008-05-01
2008,Cook County Government,CHMR,290000031,Jun,25020167.53,6,2008-06-01
2008,Cook County Government,CHMR,290000031,Jul,25218350.1,7,2008-07-01
2008,Cook County Government,CHMR,290000031,Aug,27389375.41,8,2008-08-01
2008,Cook County Government,CHMR,290000031,Sep,28304291.51,9,2008-09-01
2008,Cook County Government,CHMR,290000031,Oct,26416275.28,10,2008-10-01
2008,Cook County Government,CHMR,290000031,Nov,26967632.25,11,2008-11-01
2008,Cook County Government,CHMR,290000031,Dec,27163245.58,12,2008-12-01
2009,Cook County Government,CHMR,290000031,Jan,56550885.6,1,2009-01-01
2009,Cook County Government,CHMR,290000031,Feb,56512372.07,2,2009-02-01
2009,Cook County Government,CHMR,290000031,Mar,66190547.67,3,2009-03-01
2009,Cook County Government,CHMR,290000031,Apr,47034762.22,4,2009-04-01
2009,Cook County Government,CHMR,290000031,May,43636885.83,5,2009-05-01
2009,Cook County Government,CHMR,290000031,Jun,53209183.99,6,2009-06-01
2009,Cook County Government,CHMR,290000031,Jul,26419540.26,7,2009-07-01
2009,Cook County Government,CHMR,290000031,Aug,27198719.75,8,2009-08-01
2009,Cook County Government,CHMR,290000031,Sep,28617304.66,9,2009-09-01
2009,Cook County Government,CHMR,290000031,Oct,58801045.56,10,2009-10-01
2009,Cook County Government,CHMR,290000031,Nov,60921830.23,11,2009-11-01
2009,Cook County Government,CHMR,290000031,Dec,60262591.63,12,2009-12-01
2010,Cook County Government,CHMR,290000031,Jan,54086807.02,1,2010-01-01
2010,Cook County Government,CHMR,290000031,Feb,53758630.33,2,2010-02-01
2010,Cook County Government,CHMR,290000031,Mar,67305547.8,3,2010-03-01
