Date,CPI
2015-01-01,225.852
2015-02-01,225.763
2015-03-01,227.405
2015-04-01,227.704
2015-05-01,228.494
2015-06-01,228.837
2015-07-01,228.588
2015-08-01,229.527
2015-09-01,228.826
2015-10-01,228.6
2015-11-01,227.641
2015-12-01,226.271
2016-01-01,227.977
2016-02-01,227.438
2016-03-01,227.778
2016-04-01,229.197
2016-05-01,229.247
2016-06-01,230.341
2016-07-01,228.454
2016-08-01,228.956
2016-09-01,230.282
2016-10-01,230.506
2016-11-01,230.969
2016-12-01,230.476
2017-01-01,232.155
2017-02-01,232.491
2017-03-01,232.225
2017-04-01,233.066
2017-05-01,233.443
2017-06-01,233.407
2017-07-01,233.514
2017-08-01,234.2
2017-09-01,235.177
2017-10-01,234.159
2017-11-01,235.206
2017-12-01,234.293
2018-01-01,236.267
2018-02-01,236.306
2018-03-01,236.388
2018-04-01,237.94
2018-05-01,238.91
2018-06-01,238.54
2018-07-01,237.87
2018-08-01,238.098
2018-09-01,238.957
2018-10-01,238.892
2018-11-01,237.511
2018-12-01,236.796
2019-01-01,238.218
2019-02-01,239.669
2019-03-01,240.019
2019-04-01,239.726
2019-05-01,241.758
2019-06-01,240.835
2019-07-01,241.589
2019-08-01,241.985
2019-09-01,242.393
2019-10-01,243.236
2019-11-01,242.661
2019-12-01,242.079
2020-01-01,244.361
2020-02-01,244.407
2020-03-01,242.655
2020-04-01,240.364
2020-05-01,242.65
2020-06-01,243.475
2020-07-01,244.046
2020-08-01,244.341
2020-09-01,245.745
2020-10-01,245.584
2020-11-01,244.61
2020-12-01,244.235
2021-01-01,246.008
2021-02-01,247.387
2021-03-01,248.984
2021-04-01,251.491
2021-05-01,253.934
2021-06-01,254.974
2021-07-01,255.929
2021-08-01,256.078
2021-09-01,256.881
2021-10-01,258.621
2021-11-01,259.254
2021-12-01,260.368
2022-01-01,262.73
2022-02-01,264.828
2022-03-01,268.417
2022-04-01,269.569
2022-05-01,274.301
2022-06-01,277.78
2022-07-01,277.311
2022-08-01,277.454
2022-09-01,278.03
2022-10-01,278.415
2022-11-01,276.861
2022-12-01,274.577
